BiLSTM + GCN + Adversarial LOPO Results
ADV_LAMBDA=0.5, EPOCHS=150

p01: acc=0.8071 f1=0.7940 auc=0.9885
p02: acc=0.4857 f1=0.4633 auc=0.9246
p03: acc=0.6048 f1=0.5871 auc=0.9574
p04: acc=0.7690 f1=0.7500 auc=0.9884
p05: acc=0.6095 f1=0.5793 auc=0.9570
p06: acc=0.6619 f1=0.6557 auc=0.9696
p07: acc=0.7738 f1=0.7469 auc=0.9751
p08: acc=0.7848 f1=0.7839 auc=0.9919
p09: acc=0.7452 f1=0.7318 auc=0.9858
p10: acc=0.7500 f1=0.7445 auc=0.9837
p11: acc=0.6595 f1=0.6314 auc=0.9610
p12: acc=0.7452 f1=0.7403 auc=0.9860
p13: acc=0.6190 f1=0.5956 auc=0.9652
p14: acc=0.4952 f1=0.4566 auc=0.9443
p15: acc=0.6929 f1=0.6666 auc=0.9728
p16: acc=0.3079 f1=0.2855 auc=0.8455

Mean Accuracy : 0.6570 +/- 0.1310
Mean F1       : 0.6383
Mean AUC      : 0.9623
